ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Europe,Norway,8.88,8.46,9.33
Europe,Russian Federation,8.96,7.14,11.33
Western Pacific,Papua New Guinea,8.99,3.08,22.36
Eastern Mediterranean,Afghanistan,82.4,58.99,112.4
Europe,Tajikistan,83.45,58.24,114.7
Americas,Haiti,9.01,5.12,15.77
Americas,Uruguay,9.01,6.91,11.34
Americas,Uruguay,9.03,6.78,11.22
Americas,Barbados,9.06,6.48,13.88
Americas,Uruguay,9.07,6.86,11.22
Americas,United States of America,9.07,8.93,9.25
Western Pacific,Papua New Guinea,9.14,3.07,22.49
Americas,Uruguay,9.17,6.71,12.27
Americas,Haiti,9.21,5.1,16.76
Americas,Saint Vincent and the Grenadines,9.23,6.23,12.65
Americas,Saint Vincent and the Grenadines,9.32,6.25,12.75
Americas,Saint Vincent and the Grenadines,9.32,6.25,12.75
Europe,Ireland,9.43,8.82,9.95
Europe,Portugal,9.43,9.02,9.83
Europe,Portugal,9.43,9.09,9.74
Americas,United States of America,9.44,9.31,9.63
Americas,Grenada,9.55,6.97,12.32
Americas,Barbados,9.6,6.93,14.27
Americas,Haiti,9.61,5.55,17.15
Americas,Barbados,9.63,7.02,14.33
Americas,Barbados,9.65,6.97,14.29
Americas,Barbados,9.66,6.93,14.26
Europe,United Kingdom of Great Britain and Northern Ireland,9.7,9.26,10.37
Americas,Haiti,9.71,5.66,17.18
Americas,Trinidad and Tobago,9.73,7.17,11.98
Americas,United States of America,9.75,9.59,9.96
Americas,Grenada,9.78,7.16,12.52
Europe,Portugal,9.79,9.48,10.08
Americas,Grenada,9.92,7.24,12.63
Americas,Grenada,9.92,7.24,12.63
Africa,Kenya,9.97,6.33,13.63
Americas,Trinidad and Tobago,9.97,7.56,11.91
Europe,Andorra,9.97,8.22,12.11
Eastern Mediterranean,Afghanistan,92.04,66.43,125.9
Americas,United States of America,10.02,9.86,10.19
Europe,Norway,10.07,9.62,10.52
Americas,Guyana,10.09,5.37,15.85
Americas,Guyana,10.21,5.42,16.16
Americas,Cuba,10.3,6.88,15.91
Africa,Mauritius,10.48,8.16,13.21
Europe,Russian Federation,10.53,8.32,13.19
Africa,Mauritius,10.54,8.35,12.92
Africa,Mauritius,10.55,8.36,12.94
Americas,Guyana,10.57,5.43,16.66
Europe,Ireland,10.6,9.91,11.17
Europe,Portugal,10.68,10.27,11.07
Europe,Portugal,10.74,10.24,11.2
Europe,Andorra,10.75,8.87,13.05
Europe,United Kingdom of Great Britain and Northern Ireland,10.76,10.26,11.48
Americas,Guyana,10.82,5.43,17.08
Europe,Russian Federation,10.89,8.51,13.71
Europe,Portugal,11.1,10.73,11.45
Americas,Suriname,11.12,5.9,17.41
Europe,Switzerland,11.19,10.78,11.7
Africa,Mauritius,11.23,8.8,14.03
Europe,Ireland,11.26,10.63,11.96
Europe,Ireland,11.26,10.64,11.76
Europe,Ireland,11.27,10.36,12.25
Africa,Namibia,11.35,5.94,20.05
Europe,Portugal,11.47,11.04,11.85
Europe,Lithuania,11.55,10.57,12.78
Europe,Spain,11.57,11.25,11.95
Americas,Suriname,11.6,6.19,18.13
Europe,Russian Federation,11.64,9.37,14.65
Europe,Andorra,11.66,10.25,13.69
Europe,Denmark,11.86,10.45,13.68
Europe,Malta,11.87,10.87,12.9
Europe,Latvia,11.88,10.39,13.6
Americas,Suriname,11.92,6.36,18.8
South-East Asia,Maldives,11.92,9.37,15.61
Europe,Russian Federation,11.97,9.67,15.11
Europe,Luxembourg,12.02,10.88,13.15
Africa,Namibia,12.1,6.18,19.5
Americas,Suriname,12.11,6.48,19.19
Europe,Andorra,12.13,10.8,13.95
Europe,Andorra,12.13,10.8,13.95
Americas,Argentina,12.16,9.63,14.99
South-East Asia,Maldives,12.2,9.85,15.53
Europe,Luxembourg,12.22,11.07,13.28
Americas,Cuba,12.25,8.24,18
Africa,Kenya,12.27,7.45,17.14
Europe,United Kingdom of Great Britain and Northern Ireland,12.3,11.79,12.85
Europe,France,12.31,11.97,12.58
Americas,Argentina,12.34,9.59,15.4
Europe,Monaco,12.37,11,13.76
Europe,Monaco,12.37,11,13.76
Europe,Monaco,12.37,11,13.76
South-East Asia,Maldives,12.38,10.02,15.45
Western Pacific,Singapore,12.4,7.82,17.83
Western Pacific,Japan,12.41,11,14.07
Africa,Kenya,12.43,7.77,17.58
Africa,Zimbabwe,12.53,6.65,22.18
Africa,Kenya,12.57,8.04,17.96
Europe,Luxembourg,12.63,11.91,13.41
Americas,Jamaica,12.71,10.56,14.88
Europe,Spain,12.76,12.44,13.09
Europe,Lithuania,12.77,11.87,13.91
Europe,Switzerland,12.77,12.3,13.2
Americas,Cuba,12.78,9.08,18.28
Eastern Mediterranean,Morocco,12.79,10,16.74
Africa,Namibia,12.8,6.99,20.54
South-East Asia,Maldives,12.88,10.2,17.17
Americas,Brazil,12.88,9.64,17.08
Americas,Jamaica,12.89,10.69,14.72
Europe,Luxembourg,12.91,12.19,13.63
Europe,Denmark,12.93,11.48,14.6
Europe,Denmark,12.98,11.82,14.33
Europe,Switzerland,13,12.68,13.35
Europe,Spain,13.09,12.84,13.39
Eastern Mediterranean,Morocco,13.13,10.43,16.86
Europe,Luxembourg,13.16,12.08,14.34
Americas,Argentina,13.17,9.17,18.28
Americas,Argentina,13.22,9.96,17.17
Africa,Namibia,13.26,6.66,22.27
Africa,Zimbabwe,13.27,7.11,23.42
Eastern Mediterranean,Morocco,13.28,10.89,16.45
Africa,Zimbabwe,13.3,7.1,24.42
South-East Asia,Maldives,13.31,10.62,17.33
Western Pacific,Japan,13.41,12.09,14.83
Europe,United Kingdom of Great Britain and Northern Ireland,13.41,12.9,13.84
Africa,Botswana,13.42,9.17,19.81
Europe,San Marino,13.44,11.2,15.77
Europe,San Marino,13.44,11.2,15.77
